slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.596124,0.042917,7.103508,6505.645769,0.307747,2518095.776640,11230.793240,0.690691,14456.025232,0.284030,0.022303,0.052859,6775.946761,1662.432819,527.755808
-0.528156,0.158566,2.156660,2924.241935,0.330846,3352521.537123,14699.535906,1.064291,4875.497288,0.261669,0.011930,0.120312,2476.214327,-760.014353,17.849043
0.906274,0.326915,3.841028,1622.181604,-0.274716,2919567.139509,11040.015842,1.007309,8282.535183,0.292671,0.023187,0.067754,1012.056418,217.111823,-265.859068
-0.584430,-0.173409,8.334910,4816.508807,-0.129209,3361413.992650,16849.674396,0.506053,4555.939064,0.402792,0.022421,0.122551,0.000000,0.000000,0.000000
0.738166,-0.530567,6.869077,2122.700209,-0.064092,1228107.690051,9176.971075,0.791157,6009.263120,0.129920,0.015473,0.071115,2146.038518,169.225530,274.690150
-0.408541,0.240352,2.599423,3979.737693,0.314879,2635271.947194,1761.749651,0.990607,7771.660756,0.124096,0.023984,0.055715,3981.400086,-582.667850,-39.314850
0.744741,0.527447,8.619389,3311.415597,-0.223763,811731.456954,398.446651,0.715907,13757.985753,0.264577,0.011099,0.078184,2473.618217,478.333335,-807.619570
-0.385737,0.464370,5.733861,4921.251887,0.541780,2015200.013436,11053.784697,1.168665,4279.874713,0.208890,0.018088,0.056329,5253.216990,-1126.220366,-246.100117
-0.635164,0.115194,2.599180,4125.315925,-0.102678,2347787.001419,8890.978612,0.826459,11769.899432,0.420791,0.020465,0.117163,6454.334036,-2732.551342,-277.168543
0.328541,-0.232818,8.003161,1731.176656,-0.443151,2200956.162713,2659.512051,0.415774,6786.423185,0.644765,0.014077,0.145745,5807.087897,1667.380814,67.978775
0.586349,0.211813,2.043523,4675.028235,0.173833,3770723.568855,19272.464048,0.415352,4142.424612,0.258734,0.016240,0.108050,2311.254219,63.199557,-22.170625
-0.994409,-0.297134,9.533825,1613.903071,-0.458725,3833630.188993,12228.892248,1.093919,17411.446115,0.252546,0.012012,0.105166,3033.987649,-1897.880771,-1.301129
0.759404,0.414860,8.908337,2075.187813,0.322730,3452524.833221,15065.327198,0.324392,6576.343118,0.430702,0.010340,0.113519,3247.652567,1370.330278,-867.063967
0.743699,0.159272,8.287245,4736.924725,0.476770,1144708.475665,12062.630038,0.363210,19397.377288,0.425617,0.013506,0.062788,2268.006909,960.351702,185.833211
0.229495,0.376779,6.409863,3792.491579,-0.394594,3653709.114911,17860.736825,0.526198,12625.473123,0.109703,0.019396,0.127316,967.370375,26.547312,-167.329546
-0.220333,0.090832,5.134970,2772.801182,0.467465,3248769.996864,2117.966929,0.716850,1878.179431,0.317664,0.016832,0.128921,3079.859836,-685.501006,278.068704
0.962516,-0.493227,5.286645,7348.337120,-0.015407,639557.385198,4842.966470,0.915021,10516.582803,0.392097,0.014989,0.105773,11838.336266,3240.907438,4439.385251
-0.146868,0.358382,8.839462,4411.508547,0.502697,1143445.225768,10091.824615,0.808359,18061.104583,0.190255,0.013091,0.065185,2866.789751,-739.291657,-352.348383
0.407176,-0.439125,8.236141,5724.815463,-0.327569,3186694.723081,1907.713928,0.466789,7302.183542,0.593632,0.019409,0.078805,4059.763829,1064.162201,1121.101095
-0.238697,0.079354,4.413285,6980.842648,-0.234600,3185976.849304,15693.404722,0.636186,18193.044816,0.626467,0.023091,0.069664,9846.230893,-4055.882180,-2548.323291
-0.123693,-0.343173,4.958067,3762.677156,0.209174,1772768.079745,6116.859512,1.242714,6139.614139,0.370158,0.017310,0.087803,2008.160455,-422.261500,628.593738
0.354896,0.198152,9.396167,1987.457906,-0.009731,1948186.001895,6337.140457,0.302945,15191.799872,0.239443,0.021544,0.135562,0.000000,0.000000,0.000000
0.819325,-0.085732,9.873629,5703.147746,-0.044995,1890075.087514,11491.221380,0.393731,6844.911282,0.649229,0.010227,0.110950,4039.616365,2169.268024,307.318779
-0.869346,-0.105586,6.205589,3031.412231,-0.355916,1183023.757094,16499.678242,0.981985,19315.664219,0.641746,0.016791,0.066885,3936.276057,-4120.144378,-75.953798
-0.071257,-0.379997,5.766014,4573.558352,0.239334,2259154.523907,7934.755546,0.753498,17498.079004,0.249867,0.016533,0.130068,3099.021203,-347.924541,988.183581
-0.607449,0.293680,3.955180,4846.997852,0.496908,3475784.867613,16479.704473,1.137501,4033.228839,0.354028,0.023983,0.104351,4926.999828,-1738.793712,-14.260389
