s,x,y,psi
131.1841,126.0000,0.4158,0.388715
131.4540,126.2500,0.5176,0.384488
131.7234,126.5000,0.6180,0.379075
131.9922,126.7500,0.7167,0.372906
132.2603,127.0000,0.8135,0.365610
132.5276,127.2500,0.9080,0.357108
132.7939,127.5000,1.0000,0.347998
133.0594,127.7500,1.0893,0.337967
133.3239,128.0000,1.1756,0.326516
133.5873,128.2500,1.2586,0.314771
133.8497,128.5000,1.3383,0.301869
134.1110,128.7500,1.4142,0.287831
134.3712,129.0000,1.4863,0.273392
134.6303,129.2500,1.5543,0.257635
134.8882,129.5000,1.6180,0.241231
135.1452,129.7500,1.6773,0.224568
135.4011,130.0000,1.7321,0.206513
135.6560,130.2500,1.7820,0.187736
135.9101,130.5000,1.8271,0.168986
136.1633,130.7500,1.8672,0.148863
136.4157,131.0000,1.9021,0.128775
136.6675,131.2500,1.9319,0.108044
136.9187,131.5000,1.9563,0.086821
137.1694,131.7500,1.9754,0.065285
137.4198,132.0000,1.9890,0.043819
137.6699,132.2500,1.9973,0.022034
137.9199,132.5000,2.0000,0.000000
138.1699,132.7500,1.9973,-0.022034
138.4201,133.0000,1.9890,-0.043819
138.6704,133.2500,1.9754,-0.065285
138.9212,133.5000,1.9563,-0.086821
139.1723,133.7500,1.9319,-0.108044
139.4241,134.0000,1.9021,-0.128775
139.6765,134.2500,1.8672,-0.148863
139.9297,134.5000,1.8271,-0.168986
140.1838,134.7500,1.7820,-0.187736
140.4387,135.0000,1.7321,-0.206513
140.6946,135.2500,1.6773,-0.224568
140.9516,135.5000,1.6180,-0.241231
141.2096,135.7500,1.5543,-0.257635
141.4686,136.0000,1.4863,-0.273392
141.7288,136.2500,1.4142,-0.287831
141.9901,136.5000,1.3383,-0.301869
142.2525,136.7500,1.2586,-0.314771
142.5159,137.0000,1.1756,-0.326516
142.7804,137.2500,1.0893,-0.337967
143.0459,137.5000,1.0000,-0.347998
143.3123,137.7500,0.9080,-0.357108
143.5795,138.0000,0.8135,-0.365610
143.8476,138.2500,0.7167,-0.372906
144.1164,138.5000,0.6180,-0.379075
144.3858,138.7500,0.5176,-0.384488
144.6557,139.0000,0.4158,-0.388715
144.9261,139.2500,0.3129,-0.392140
145.1968,139.5000,0.2091,-0.394744
145.4677,139.7500,0.1047,-0.396264
145.7387,140.0000,0.0000,-0.396779
146.0098,140.2500,-0.1047,-0.396264
146.2807,140.5000,-0.2091,-0.394744
146.5514,140.7500,-0.3129,-0.392140
146.8217,141.0000,-0.4158,-0.388715
147.0917,141.2500,-0.5176,-0.384488
147.3611,141.5000,-0.6180,-0.379075
147.6298,141.7500,-0.7167,-0.372906
147.8979,142.0000,-0.8135,-0.365610
148.1652,142.2500,-0.9080,-0.357108
148.4316,142.5000,-1.0000,-0.347998
148.6971,142.7500,-1.0893,-0.337967
148.9615,143.0000,-1.1756,-0.326516
149.2249,143.2500,-1.2586,-0.314771
149.4873,143.5000,-1.3383,-0.301869
149.7486,143.7500,-1.4142,-0.287831
150.0088,144.0000,-1.4863,-0.273392
150.2679,144.2500,-1.5543,-0.257635
150.5259,144.5000,-1.6180,-0.241231
150.7828,144.7500,-1.6773,-0.224568
151.0387,145.0000,-1.7321,-0.206513
151.2937,145.2500,-1.7820,-0.187736
151.5477,145.5000,-1.8271,-0.168986
151.8009,145.7500,-1.8672,-0.148863
152.0533,146.0000,-1.9021,-0.128775
152.3051,146.2500,-1.9319,-0.108044
152.5563,146.5000,-1.9563,-0.086821
152.8070,146.7500,-1.9754,-0.065285
153.0574,147.0000,-1.9890,-0.043819
153.3075,147.2500,-1.9973,-0.022034
153.5575,147.5000,-2.0000,-0.000000
153.8076,147.7500,-1.9973,0.022034
154.0577,148.0000,-1.9890,0.043819
154.3081,148.2500,-1.9754,0.065285
154.5588,148.5000,-1.9563,0.086821
154.8100,148.7500,-1.9319,0.108044
155.0617,149.0000,-1.9021,0.128775
155.3142,149.2500,-1.8672,0.148863
155.5674,149.5000,-1.8271,0.168986
155.8214,149.7500,-1.7820,0.187736
156.0763,150.0000,-1.7321,0.206513
156.3323,150.2500,-1.6773,0.224568
156.5892,150.5000,-1.6180,0.241231
156.8472,150.7500,-1.5543,0.257635
157.1063,151.0000,-1.4863,0.273392
157.3665,151.2500,-1.4142,0.287831
157.6277,151.5000,-1.3383,0.301869
157.8901,151.7500,-1.2586,0.314771
158.1536,152.0000,-1.1756,0.326516
158.4180,152.2500,-1.0893,0.337967
158.6835,152.5000,-1.0000,0.347998
158.9499,152.7500,-0.9080,0.357108
159.2172,153.0000,-0.8135,0.365610
159.4852,153.2500,-0.7167,0.372906
159.7540,153.5000,-0.6180,0.379075
160.0234,153.7500,-0.5176,0.384488
160.2934,154.0000,-0.4158,0.388715
160.5637,154.2500,-0.3129,0.392140
160.8344,154.5000,-0.2091,0.394744
161.1053,154.7500,-0.1047,0.396262
161.3764,155.0000,-0.0000,0.396787
