label,n_true,phi_true,throttle,steer_amp,seed,ok,wall_s,csv
lhs0032_n0546_phi200,0.546,20.03,0.60,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0032_n0546_phi200_thr60_amp40_seed0.csv
lhs0032_n0546_phi200,0.546,20.03,0.60,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0032_n0546_phi200_thr60_amp70_seed0.csv
lhs0033_n0550_phi179,0.550,17.93,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0033_n0550_phi179_thr40_amp40_seed0.csv
lhs0033_n0550_phi179,0.550,17.93,0.40,0.70,0,1,24.4,data/terrain_traces_lhs/lhs0033_n0550_phi179_thr40_amp70_seed0.csv
lhs0033_n0550_phi179,0.550,17.93,0.60,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0033_n0550_phi179_thr60_amp40_seed0.csv
lhs0033_n0550_phi179,0.550,17.93,0.60,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0033_n0550_phi179_thr60_amp70_seed0.csv
lhs0034_n0554_phi178,0.554,17.77,0.40,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0034_n0554_phi178_thr40_amp40_seed0.csv
lhs0034_n0554_phi178,0.554,17.77,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0034_n0554_phi178_thr40_amp70_seed0.csv
lhs0034_n0554_phi178,0.554,17.77,0.60,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0034_n0554_phi178_thr60_amp40_seed0.csv
lhs0034_n0554_phi178,0.554,17.77,0.60,0.70,0,1,24.4,data/terrain_traces_lhs/lhs0034_n0554_phi178_thr60_amp70_seed0.csv
lhs0035_n0556_phi159,0.556,15.90,0.40,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0035_n0556_phi159_thr40_amp40_seed0.csv
lhs0035_n0556_phi159,0.556,15.90,0.40,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0035_n0556_phi159_thr40_amp70_seed0.csv
lhs0035_n0556_phi159,0.556,15.90,0.60,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0035_n0556_phi159_thr60_amp40_seed0.csv
lhs0035_n0556_phi159,0.556,15.90,0.60,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0035_n0556_phi159_thr60_amp70_seed0.csv
lhs0036_n0559_phi367,0.559,36.67,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0036_n0559_phi367_thr40_amp40_seed0.csv
lhs0036_n0559_phi367,0.559,36.67,0.40,0.70,0,1,24.4,data/terrain_traces_lhs/lhs0036_n0559_phi367_thr40_amp70_seed0.csv
lhs0036_n0559_phi367,0.559,36.67,0.60,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0036_n0559_phi367_thr60_amp40_seed0.csv
lhs0036_n0559_phi367,0.559,36.67,0.60,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0036_n0559_phi367_thr60_amp70_seed0.csv
lhs0037_n0561_phi089,0.561,8.93,0.40,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0037_n0561_phi089_thr40_amp40_seed0.csv
lhs0037_n0561_phi089,0.561,8.93,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0037_n0561_phi089_thr40_amp70_seed0.csv
lhs0037_n0561_phi089,0.561,8.93,0.60,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0037_n0561_phi089_thr60_amp40_seed0.csv
lhs0037_n0561_phi089,0.561,8.93,0.60,0.70,0,1,24.5,data/terrain_traces_lhs/lhs0037_n0561_phi089_thr60_amp70_seed0.csv
lhs0038_n0566_phi361,0.566,36.12,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0038_n0566_phi361_thr40_amp40_seed0.csv
lhs0038_n0566_phi361,0.566,36.12,0.40,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0038_n0566_phi361_thr40_amp70_seed0.csv
lhs0038_n0566_phi361,0.566,36.12,0.60,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0038_n0566_phi361_thr60_amp40_seed0.csv
lhs0038_n0566_phi361,0.566,36.12,0.60,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0038_n0566_phi361_thr60_amp70_seed0.csv
lhs0039_n0567_phi326,0.567,32.65,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0039_n0567_phi326_thr40_amp40_seed0.csv
lhs0039_n0567_phi326,0.567,32.65,0.40,0.70,0,1,24.4,data/terrain_traces_lhs/lhs0039_n0567_phi326_thr40_amp70_seed0.csv
lhs0039_n0567_phi326,0.567,32.65,0.60,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0039_n0567_phi326_thr60_amp40_seed0.csv
lhs0039_n0567_phi326,0.567,32.65,0.60,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0039_n0567_phi326_thr60_amp70_seed0.csv
lhs0040_n0571_phi305,0.571,30.52,0.40,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0040_n0571_phi305_thr40_amp40_seed0.csv
lhs0040_n0571_phi305,0.571,30.52,0.40,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0040_n0571_phi305_thr40_amp70_seed0.csv
lhs0040_n0571_phi305,0.571,30.52,0.60,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0040_n0571_phi305_thr60_amp40_seed0.csv
lhs0040_n0571_phi305,0.571,30.52,0.60,0.70,0,1,24.5,data/terrain_traces_lhs/lhs0040_n0571_phi305_thr60_amp70_seed0.csv
lhs0041_n0576_phi249,0.576,24.88,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0041_n0576_phi249_thr40_amp40_seed0.csv
lhs0041_n0576_phi249,0.576,24.88,0.40,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0041_n0576_phi249_thr40_amp70_seed0.csv
lhs0041_n0576_phi249,0.576,24.88,0.60,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0041_n0576_phi249_thr60_amp40_seed0.csv
lhs0041_n0576_phi249,0.576,24.88,0.60,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0041_n0576_phi249_thr60_amp70_seed0.csv
lhs0042_n0578_phi374,0.578,37.36,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0042_n0578_phi374_thr40_amp40_seed0.csv
lhs0042_n0578_phi374,0.578,37.36,0.40,0.70,0,1,24.4,data/terrain_traces_lhs/lhs0042_n0578_phi374_thr40_amp70_seed0.csv
lhs0042_n0578_phi374,0.578,37.36,0.60,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0042_n0578_phi374_thr60_amp40_seed0.csv
lhs0042_n0578_phi374,0.578,37.36,0.60,0.70,0,1,24.5,data/terrain_traces_lhs/lhs0042_n0578_phi374_thr60_amp70_seed0.csv
